flow,src,src_port,dst,dst_port,protocol,timestamp,duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,max_fpktl,mean_fpktl,std_fpktl,min_bpktl,max_bpktl,mean_bpktl,std_bpktl,flowBytesPerSecond,flowPktsPerSecond,mean_flowiat,std_flowiat,max_flowiat,min_flowiat,total_fiat,mean_fiat,std_fiat,max_fiat,min_fiat,total_biat,mean_biat,std_biat,max_biat,min_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,var_flowpktl,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,bAvgSegmentSize,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,fSubFlowAvgPkts,fSubFlowAvgBytes,bSubFlowAvgPkts,bSubFlowAvgBytes,fInitWinSize,bInitWinSize,fDataPkts,fHeaderSizeMin,mean_active_s,std_active_s,max_active_s,min_active_s,mean_idle_s,std_idle_s,max_idle_s,min_idle_s,label
40.77.226.250:443<->192.168.18.12:443,40.77.226.250,443,192.168.18.12,52124,TCP,0,0.061350656,2,0,422,0,54,368,211.0,222.03152929257593,0,0,0.0,0.0,6878.492057199845,32.59948842274808,0.06135082244873047,0.0,0.06135082244873047,0.06135082244873047,0.061350788,0.061350788,0.0,0.061350788,0.061350788,0,0.0,0.0,0.061350788,0,1,0,0,0,0,0,32.59948842274808,0.0,54,368,211.0,222.03152929257593,49298.0,1,0,0,1,2,0,0,0,1,211.0,157.0,0.0,0,0,0,0,0,0,2.0,422.0,0.0,0.0,2049,0,2,40,6.135082244873047e-11,0.0,6.135082244873047e-11,0.0,0,0,0,0,None
192.168.18.12:40248<->34.211.161.93:40248,192.168.18.12,40248,34.211.161.93,443,TCP,0,7.1168e-05,2,0,163,0,66,97,81.5,21.920310216782973,0,0,0.0,0.0,2290355.2158273384,28102.517985611514,7.104873657226562e-05,0.0,7.104873657226562e-05,7.104873657226562e-05,0.000070993,7.0993e-05,0.0,0.000070993,0.000070993,0,0.0,0.0,0.000070993,0,1,0,0,0,0,0,28102.517985611514,0.0,66,97,81.5,21.920310216782973,480.5,1,0,0,1,2,0,0,0,1,81.5,15.5,0.0,0,0,0,0,0,0,2.0,163.0,0.0,0.0,501,0,2,52,7.104873657226562e-14,0.0,7.104873657226562e-14,0.0,0,0,0,0,None
13.67.9.5:443<->192.168.18.12:443,13.67.9.5,443,192.168.18.12,49862,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640178815.091185705,1640178815.091185705,0,0.0,0.0,1640178815.091185705,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,1,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
13.107.5.93:443<->192.168.18.12:443,13.107.5.93,443,192.168.18.12,48688,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640178806.326559711,1640178806.326559711,0,0.0,0.0,1640178806.326559711,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,1,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.12:52124<->40.77.226.250:52124,192.168.18.12,52124,40.77.226.250,443,TCP,0,0.000107008,2,0,139,0,54,85,69.5,21.920310216782973,0,0,0.0,0.0,1298968.3014354066,18690.191387559807,0.00010704994201660156,0.0,0.00010704994201660156,0.00010704994201660156,0.000106932,0.000106932,0.0,0.000106932,0.000106932,0,0.0,0.0,0.000106932,0,1,0,0,0,0,0,18690.191387559807,0.0,54,85,69.5,21.920310216782973,480.5,1,0,0,1,2,0,0,0,1,69.5,15.5,0.0,0,0,0,0,0,0,2.0,139.0,0.0,0.0,501,0,2,40,1.0704994201660156e-13,0.0,1.0704994201660156e-13,0.0,0,0,0,0,None
13.67.9.5:443<->192.168.18.12:443,13.67.9.5,443,192.168.18.12,49860,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640178821.417444858,1640178821.417444858,0,0.0,0.0,1640178821.417444858,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,1,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
34.211.161.93:443<->192.168.18.12:443,34.211.161.93,443,192.168.18.12,40248,TCP,0,1.536e-06,2,0,163,0,66,97,81.5,21.920310216782973,0,0,0.0,0.0,106119791.66666667,1302083.3333333333,1.430511474609375e-06,0.0,1.430511474609375e-06,1.430511474609375e-06,0.000001575,1.575e-06,0.0,0.000001575,0.000001575,0,0.0,0.0,0.000001575,0,1,0,0,0,0,0,1302083.3333333333,0.0,66,97,81.5,21.920310216782973,480.5,1,0,0,1,2,0,0,0,1,81.5,15.5,0.0,0,0,0,0,0,0,2.0,163.0,0.0,0.0,110,0,2,52,1.430511474609375e-15,0.0,1.430511474609375e-15,0.0,0,0,0,0,None
192.168.18.12:40248<->34.211.161.93:40248,192.168.18.12,40248,34.211.161.93,443,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640178777.964000325,1640178777.964000325,0,0.0,0.0,1640178777.964000325,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
34.107.164.220:443<->192.168.18.12:43812,34.107.164.220,443,192.168.18.12,43812,TCP,0,0.000187136,1,1,139,66,139,139,139.0,0.0,66,66,66.0,0.0,1095459.9863201096,10687.414500683995,0.00018715858459472656,0.0,0.00018715858459472656,0.00018715858459472656,0,0.0,0.0,1640178827.758896952,1640178827.758896952,0,0.0,0.0,1640178827.758896952,0,1,0,0,0,0,0,5343.707250341998,5343.707250341998,66,139,102.5,51.61879502661797,2664.5,1,0,0,1,2,0,0,0,2.106060606060606,102.5,73.0,0.0,139.0,1.0,0.6666666666666666,0,1.0,0.6666666666666666,1.0,139.0,1.0,66.0,349,501,1,125,1.8715858459472656e-13,0.0,1.8715858459472656e-13,0.0,0,0,0,0,None
34.120.240.7:443<->192.168.18.12:48388,34.120.240.7,443,192.168.18.12,48388,TCP,0,0.000209664,1,1,139,66,139,139,139.0,0.0,66,66,66.0,0.0,977754.8840048839,9539.072039072038,0.00020956993103027344,0.0,0.00020956993103027344,0.00020956993103027344,0,0.0,0.0,1640178828.377474784,1640178828.377474784,0,0.0,0.0,1640178828.377474784,0,1,0,0,0,0,0,4769.536019536019,4769.536019536019,66,139,102.5,51.61879502661797,2664.5,1,0,0,1,2,0,0,0,2.106060606060606,102.5,73.0,0.0,139.0,1.0,0.6666666666666666,0,1.0,0.6666666666666666,1.0,139.0,1.0,66.0,305,501,1,125,2.0956993103027343e-13,0.0,2.0956993103027343e-13,0.0,0,0,0,0,None
