,flow,src,src_port,dst,Destination Port,protocol,timestamp,Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,total_bpktl,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,mean_biat,std_biat,Bwd IAT Max,min_biat,Fwd PSH Flags,bpsh_cnt,furg_cnt,burg_cnt,Fwd Header Length,total_bhlen,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Mean Packet Length,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,flow_cwr,flow_ece,downUpRatio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,Min Header size_forward,mean_active_s,std_active_s,max_active_s,min_active_s,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,40.77.226.250:443<->192.168.18.9:443,40.77.226.250,443.0,192.168.18.9,186.98829447933448,TCP,0.0,225.0,0.0,0.0,47.76876267748479,0.0,225.0,55.28169014084507,154.5951859956236,0.0,0.0,0.0,0.0,0.0,0.019744617969978707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.99999999991158,224.99999999991158,0.0,0.0,0.0,224.99999999991158,0.0,112.5,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,225.0,55.28169014084507,203.48502304147468,0.0,0.0,225.0,0.0,0.0,56.25,32.14285714285714,,0.0,0.0,1.0,203.48502304147468,154.5951859956236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.76876267748479,0.0,0.0,7.125046319169961,0.0,0.0,225.0,0.0,0.0,0.0,0.0,,,,,None
1,192.168.18.9:50630<->40.77.226.250:50630,192.168.18.9,50630.0,40.77.226.250,1.342764607240325,TCP,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,32.14285714285714,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.740442811264822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,None
2,<<<<<<< HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,192.168.18.9:50190<->35.232.111.17:50190,192.168.18.9,50190.0,35.232.111.17,0.0,TCP,0.0,225.0,0.0,0.0,1.8255578093306288,0.0,8.598726114649681,2.112676056338028,5.908096280087527,0.0,0.0,0.0,0.0,0.0,0.0007545713873877213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.99837005995755,224.99837005995755,0.0,0.0,0.0,224.99837005995755,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,8.598726114649681,2.112676056338028,7.776497695852536,0.0,0.0,225.0,0.0,0.0,0.0,32.14285714285714,,0.0,0.0,1.0,7.776497695852536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8255578093306288,0.0,0.0,1.740442811264822,0.0,0.0,8.598726114649681,0.0,0.0,0.0,0.0,,,,,None
4,35.232.111.17:80<->192.168.18.9:80,35.232.111.17,80.0,192.168.18.9,185.36070101601288,TCP,0.0,225.0,0.0,0.0,1.8255578093306288,0.0,8.598726114649681,2.112676056338028,5.908096280087527,0.0,0.0,0.0,0.0,0.0,0.0007545713873877213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.99837006001655,224.99837006001655,0.0,0.0,0.0,224.99837006001655,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,8.598726114649681,2.112676056338028,7.776497695852536,0.0,0.0,225.0,0.0,0.0,0.0,32.14285714285714,,0.0,0.0,1.0,7.776497695852536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8255578093306288,0.0,0.0,1.764760375494071,0.0,0.0,8.598726114649681,0.0,0.0,0.0,0.0,,,,,None
5,192.168.18.9:52620<->34.120.208.123:52620,192.168.18.9,52620.0,34.120.208.123,1.342764607240325,TCP,0.0,225.0,0.0,0.0,6.54158215010142,0.0,30.812101910828027,7.570422535211268,21.170678336980306,0.0,0.0,0.0,0.0,0.0,0.0027038808048060014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.9983599513408,224.9983599513408,0.0,0.0,0.0,224.9983599513408,0.0,112.5,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,30.812101910828027,7.570422535211268,27.86578341013825,0.0,0.0,225.0,0.0,0.0,56.25,32.14285714285714,,0.0,0.0,1.0,27.86578341013825,15.26258205689278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.54158215010142,0.0,0.0,1.740442811264822,0.0,0.0,30.812101910828027,0.0,0.0,0.0,0.0,,,,,None
6,34.120.208.123:443<->192.168.18.9:443,34.120.208.123,443.0,192.168.18.9,194.34945582481177,TCP,0.0,225.0,0.0,0.0,1.8255578093306288,0.0,8.598726114649681,2.112676056338028,5.908096280087527,0.0,0.0,0.0,0.0,0.0,0.0007545713873877213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.99835995905926,224.99835995905926,0.0,0.0,0.0,224.99835995905926,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,8.598726114649681,2.112676056338028,7.776497695852536,0.0,0.0,225.0,0.0,0.0,0.0,32.14285714285714,,0.0,0.0,1.0,7.776497695852536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8255578093306288,0.0,0.0,1.0491291996047432,0.0,0.0,8.598726114649681,0.0,0.0,0.0,0.0,,,,,None
7,192.168.18.9:43502<->207.244.89.161:43502,192.168.18.9,43502.0,207.244.89.161,0.0,TCP,0.0,225.0,0.0,0.0,1.8255578093306288,0.0,8.598726114649681,2.112676056338028,5.908096280087527,0.0,0.0,0.0,0.0,0.0,0.0007545713873877213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.99834899177088,224.99834899177088,0.0,0.0,0.0,224.99834899177088,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,8.598726114649681,2.112676056338028,7.776497695852536,0.0,0.0,225.0,0.0,0.0,0.0,32.14285714285714,,0.0,0.0,1.0,7.776497695852536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8255578093306288,0.0,0.0,1.743916749011858,0.0,0.0,8.598726114649681,0.0,0.0,0.0,0.0,,,,,None
8,192.168.18.9:46696<->198.16.66.124:46696,192.168.18.9,46696.0,198.16.66.124,0.0,TCP,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.9983490297463,224.9983490297463,0.0,0.0,0.0,224.9983490297463,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,None
9,192.168.18.9:45746<->198.16.66.99:45746,192.168.18.9,45746.0,198.16.66.99,0.0,TCP,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.9983490310942,224.9983490310942,0.0,0.0,0.0,224.9983490310942,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,None
